# CREATED BY GENE DIAGNOSTICS TOOL on Fri Dec 11 19:26:24 2020
# diag: timetrace, run(s): 0029, time window: 0-1500(1592 steps), species: ions
# original data path: /marconi_scratch/userexternal/cmoreno0/GAM_HP_scan/LHD_s0.25_alpha-0_npol3_nz0768/
# normalization: L_ref=1.65m
#
#  t          Re[phi]     Im[phi]   
  4.5075E+02  3.2319E-02 -4.2327E-03
  4.5170E+02  3.2276E-02 -4.2375E-03
  4.5264E+02  3.2232E-02 -4.2422E-03
  4.5358E+02  3.2188E-02 -4.2469E-03
  4.5453E+02  3.2143E-02 -4.2516E-03
  4.5547E+02  3.2099E-02 -4.2563E-03
  4.5641E+02  3.2055E-02 -4.2610E-03
  4.5735E+02  3.2010E-02 -4.2657E-03
  4.5830E+02  3.1966E-02 -4.2703E-03
  4.5924E+02  3.1922E-02 -4.2750E-03
  4.6018E+02  3.1877E-02 -4.2796E-03
  4.6113E+02  3.1833E-02 -4.2842E-03
  4.6207E+02  3.1789E-02 -4.2888E-03
  4.6301E+02  3.1746E-02 -4.2934E-03
  4.6396E+02  3.1703E-02 -4.2980E-03
  4.6490E+02  3.1660E-02 -4.3026E-03
  4.6584E+02  3.1617E-02 -4.3072E-03
  4.6678E+02  3.1576E-02 -4.3118E-03
  4.6773E+02  3.1534E-02 -4.3163E-03
