# CREATED BY GENE DIAGNOSTICS TOOL on Wed Dec 16 15:38:48 2020
# diag: timetrace, run(s): 0029, time window: 0-1500(1592 steps), species: ions
# original data path: /marconi_scratch/userexternal/cmoreno0/GAM_HP_scan/surface/scanfiles0000/
# normalization: L_ref=1.65m
#
#  t          Re[phi]     Im[phi]   
  4.3944E+02  2.7536E-02 -1.0383E-02
  4.4038E+02  2.7478E-02 -1.0385E-02
  4.4132E+02  2.7420E-02 -1.0386E-02
  4.4227E+02  2.7362E-02 -1.0387E-02
  4.4321E+02  2.7303E-02 -1.0388E-02
  4.4415E+02  2.7244E-02 -1.0388E-02
  4.4510E+02  2.7186E-02 -1.0389E-02
  4.4604E+02  2.7129E-02 -1.0390E-02
  4.4698E+02  2.7071E-02 -1.0391E-02
  4.4792E+02  2.7013E-02 -1.0391E-02
  4.4887E+02  2.6956E-02 -1.0392E-02
  4.4981E+02  2.6900E-02 -1.0392E-02
  4.5075E+02  2.6843E-02 -1.0392E-02
  4.5170E+02  2.6788E-02 -1.0393E-02
  4.5264E+02  2.6732E-02 -1.0393E-02
  4.5358E+02  2.6677E-02 -1.0393E-02
  4.5453E+02  2.6622E-02 -1.0393E-02
  4.5547E+02  2.6568E-02 -1.0393E-02
  4.5641E+02  2.6513E-02 -1.0393E-02
  4.5735E+02  2.6459E-02 -1.0393E-02
  4.5830E+02  2.6405E-02 -1.0393E-02
  4.5924E+02  2.6350E-02 -1.0393E-02
  4.6018E+02  2.6296E-02 -1.0393E-02
  4.6113E+02  2.6241E-02 -1.0393E-02
  4.6207E+02  2.6186E-02 -1.0393E-02
  4.6301E+02  2.6131E-02 -1.0392E-02
  4.6396E+02  2.6076E-02 -1.0392E-02
  4.6490E+02  2.6021E-02 -1.0391E-02
  4.6584E+02  2.5966E-02 -1.0391E-02
  4.6678E+02  2.5911E-02 -1.0390E-02
  4.6773E+02  2.5857E-02 -1.0390E-02
  4.6867E+02  2.5802E-02 -1.0389E-02
  4.6961E+02  2.5747E-02 -1.0388E-02
  4.7056E+02  2.5692E-02 -1.0387E-02
