# CREATED BY GENE DIAGNOSTICS TOOL on Wed Dec 16 15:31:01 2020
# diag: gamdiag, run(s): 0025, time window: 0-1500(1543 steps), species: ions
# original data path: /marconi_scratch/userexternal/cmoreno0/GAM_HP_scan/surface/scanfiles0000/
# normalization: L_ref=1.65m
#
# xind= 0, x/a= 0.5, q= -2.1464562
# Fit:    0.047481956,64.666712,-6.9492445
# Analytic (Gao, Zhou/Yu): 0.078523524,0.36211323,4.1062285
#  t          Re[phi]     Im[phi]   
  3.6877E+02  3.4142E-02 -8.8537E-03
  3.6974E+02  3.4106E-02 -8.8623E-03
  3.7071E+02  3.4070E-02 -8.8710E-03
  3.7169E+02  3.4035E-02 -8.8800E-03
  3.7266E+02  3.3999E-02 -8.8891E-03
  3.7363E+02  3.3961E-02 -8.8983E-03
  3.7461E+02  3.3921E-02 -8.9077E-03
  3.7558E+02  3.3881E-02 -8.9172E-03
  3.7655E+02  3.3844E-02 -8.9268E-03
  3.7752E+02  3.3808E-02 -8.9364E-03
  3.7850E+02  3.3774E-02 -8.9462E-03
  3.7947E+02  3.3738E-02 -8.9559E-03
  3.8044E+02  3.3700E-02 -8.9656E-03
  3.8142E+02  3.3662E-02 -8.9753E-03
  3.8239E+02  3.3626E-02 -8.9848E-03
  3.8336E+02  3.3591E-02 -8.9942E-03
  3.8434E+02  3.3555E-02 -9.0035E-03
  3.8531E+02  3.3517E-02 -9.0125E-03
  3.8628E+02  3.3478E-02 -9.0215E-03
  3.8725E+02  3.3441E-02 -9.0302E-03
  3.8823E+02  3.3406E-02 -9.0387E-03
  3.8920E+02  3.3372E-02 -9.0470E-03
  3.9017E+02  3.3337E-02 -9.0551E-03
  3.9115E+02  3.3302E-02 -9.0631E-03
  3.9212E+02  3.3271E-02 -9.0709E-03
  3.9309E+02  3.3243E-02 -9.0785E-03
  3.9407E+02  3.3215E-02 -9.0860E-03
  3.9504E+02  3.3187E-02 -9.0934E-03
  3.9601E+02  3.3158E-02 -9.1007E-03
  3.9698E+02  3.3130E-02 -9.1078E-03
  3.9796E+02  3.3103E-02 -9.1149E-03
  3.9893E+02  3.3077E-02 -9.1218E-03
  3.9990E+02  3.3049E-02 -9.1287E-03
  4.0088E+02  3.3018E-02 -9.1354E-03
  4.0185E+02  3.2982E-02 -9.1420E-03
  4.0282E+02  3.2945E-02 -9.1484E-03
  4.0380E+02  3.2908E-02 -9.1548E-03
  4.0477E+02  3.2871E-02 -9.1611E-03
  4.0574E+02  3.2832E-02 -9.1672E-03
  4.0671E+02  3.2789E-02 -9.1733E-03
  4.0769E+02  3.2743E-02 -9.1793E-03
  4.0866E+02  3.2694E-02 -9.1852E-03
  4.0963E+02  3.2645E-02 -9.1910E-03
  4.1061E+02  3.2598E-02 -9.1967E-03
  4.1158E+02  3.2551E-02 -9.2024E-03
  4.1255E+02  3.2501E-02 -9.2080E-03
  4.1353E+02  3.2448E-02 -9.2136E-03
  4.1450E+02  3.2395E-02 -9.2191E-03
  4.1547E+02  3.2343E-02 -9.2246E-03
  4.1644E+02  3.2293E-02 -9.2300E-03
  4.1742E+02  3.2243E-02 -9.2354E-03
  4.1839E+02  3.2191E-02 -9.2407E-03
  4.1936E+02  3.2138E-02 -9.2460E-03
  4.2034E+02  3.2087E-02 -9.2512E-03
  4.2131E+02  3.2037E-02 -9.2564E-03
  4.2228E+02  3.1989E-02 -9.2615E-03
  4.2326E+02  3.1941E-02 -9.2665E-03
  4.2423E+02  3.1892E-02 -9.2715E-03
  4.2520E+02  3.1845E-02 -9.2765E-03
